episode_variant,capture_kind,scope,metric,m0,m1,diff_or_value,ci_low,ci_high,n_m0,n_m1,direction
lineage,primary,response,stable_orbit_rate,0.005085895117540687,0.013110307414104882,0.008024412296564195,0.004859855334538879,0.01141500904159132,8848,8848,UP
lineage,primary,response,mean_episodes_experienced,3.4853074141048825,4.0530063291139244,0.5676989150090419,0.43851435352622053,0.6937189195298374,8848,8848,UP
lineage,primary,response,zero_episode_rate,0.26717902350813744,0.2416365280289331,-0.02554249547920434,-0.036847310126582315,-0.013446541591320103,8848,8848,DOWN
lineage,primary,response,mean_reuse_blocks,11.15630650994575,18.654724231464737,7.498417721518987,5.558945524412296,9.469834990958407,8848,8848,UP
lineage,primary,response,captured_episode_ordinal_mean,4.907455012853471,6.028639618138425,1.1211846052849541,0.5715146802730684,1.6418454619713292,389,838,UP
lineage,primary,response,recovered_before_capture_mean,3.9074550128534704,5.028639618138425,1.1211846052849546,0.5715146802730684,1.6418454619713292,389,838,UP
lineage,primary,response,capture_in_first_episode_rate,0.2159383033419023,0.10620525059665871,-0.1097330527452436,-0.15424411946938224,-0.0641245880264001,389,838,DOWN
lineage,primary,response,orbit_given_captured,0.11568123393316196,0.1360381861575179,0.020356952224355934,-0.02102833645939467,0.06291696528582517,389,838,UNRESOLVED
lineage,primary,response,orbit_given_uncaptured,0.0,0.00024968789013732833,0.00024968789013732833,0.0,0.0006278252134605726,8459,8010,UNRESOLVED
lineage,primary,response,stop_in_episode_share,0.3068920676202861,0.31573033707865167,0.008838269458365577,-0.00516671579581445,0.022564590431480736,8459,8010,UNRESOLVED
lineage,primary,response,capture_first_episode_after_last_new_rate,0.5886889460154242,0.5023866348448688,-0.08630231117055542,-0.15038598220327815,-0.024287048631953287,389,838,DOWN
lineage,legacy,slot,pooled_capture_hazard,0.0013950892857142857,0.0030075187969924814,0.0016124295112781956,0.0008313861366506527,0.002393678086420523,nan,nan,UP
lineage,legacy,slot,pooled_gap_stop_hazard,0.15379570851476837,0.1262905604719764,-0.02750514804279197,-0.03512859344166559,-0.02020534447986247,nan,nan,DOWN
lineage,legacy,slot,pooled_inepisode_stop_hazard,0.08993675595238096,0.08455348898562196,-0.005383266966759004,-0.01028556907561082,-0.0005753067566206823,nan,nan,DOWN
lineage,legacy,slot,cif_capture_final,0.005098965746363133,0.012952584011186659,0.007853618264823526,0.004572523577517577,0.011159345219429961,nan,nan,UP
lineage,legacy,slot,cif_stop_final,0.9949010342536366,0.986422696194687,-0.008478338058949597,-0.011902120771429537,-0.005008424812133411,nan,nan,DOWN
lineage,legacy,slot,propensity_component,nan,nan,0.006621425902993762,0.003487047053362977,0.009771825786181607,nan,nan,UP
lineage,legacy,slot,exposure_component,nan,nan,0.0012321923618297645,0.0008681845556939788,0.0016720152387661217,nan,nan,UP
lineage,legacy,slot,decomposition_total,nan,nan,0.007853618264823526,0.004572523577517577,0.011159345219429965,nan,nan,UP
lineage,legacy,slot,identity_error,nan,nan,0.0,-1.734723475976807e-18,1.734723475976807e-18,nan,nan,UNRESOLVED
lineage,legacy,slot,raw_cif_diff,nan,nan,0.007853618264823526,0.004572523577517577,0.011159345219429961,nan,nan,UP
lineage,legacy,slot,hazard_k1,0.00215916101172116,0.0031296572280178838,0.000970496216296724,-0.001050606519429678,0.003003907961423665,nan,nan,UNRESOLVED
lineage,legacy,slot,hazard_k2,0.002079434393844874,0.0040114613180515755,0.0019320269242067015,-0.00023698632367039182,0.004128193715837279,nan,nan,UNRESOLVED
lineage,legacy,slot,hazard_k3,0.0016072863648540047,0.003586800573888092,0.001979514209034087,-0.00044972550736445323,0.004484034714959611,nan,nan,UNRESOLVED
lineage,legacy,slot,hazard_k4,0.001671681711802073,0.0029308323563892145,0.0012591506445871416,-0.0012177210063433867,0.004036660010517382,nan,nan,UNRESOLVED
lineage,legacy,slot,hazard_k5,0.0012552301255230125,0.002831858407079646,0.0015766282815566335,-0.0009274217345914192,0.004302828642239826,nan,nan,UNRESOLVED
lineage,legacy,slot,hazard_k6,0.0005227391531625719,0.0034290612944706386,0.0029063221413080666,0.0005805622682168365,0.005550855919280539,nan,nan,UP
lineage,legacy,slot,hazard_k7,0.0012787723785166241,0.0036534446764091857,0.0023746722978925617,-0.0005195603198034662,0.005762954444034213,nan,nan,UNRESOLVED
lineage,legacy,slot,hazard_k8,0.0007830853563038371,0.0037831021437578815,0.003000016787454044,-0.00029245902398277563,0.00654881937484565,nan,nan,UNRESOLVED
lineage,legacy,slot,hazard_k9plus_pooled,0.00042283298097251583,0.001854522975479085,0.0014316899945065692,0.0004618636751462944,0.0024802946038694432,nan,nan,UP
lineage,legacy,slot,cif_capture_at_k1,0.0015827665372992136,0.002373771435039333,0.0007910048977401193,-0.0006795968691188343,0.002372430875929004,nan,nan,UNRESOLVED
