pair,m0_tag,m1_tag,metric,m0,m1,diff_or_value,ci_low,ci_high,direction
4b_CGN_s42,qwen3-4b-cleanv2-s42,qwen3-4b-generic-noise-s42,censor_rate,0.0009041591320072332,0.0005650994575045208,-0.0003390596745027124,-0.001469258589511754,0.0005650994575045209,UNRESOLVED
4b_CGN_s42,qwen3-4b-cleanv2-s42,qwen3-4b-generic-noise-s42,mean_episodes_experienced,3.694620253164557,5.0913200723327305,1.3966998191681737,1.2603893535262212,1.5354938969258587,UP
4b_CGN_s42,qwen3-4b-cleanv2-s42,qwen3-4b-generic-noise-s42,zero_episode_rate,0.2750904159132007,0.15393309222423146,-0.12115732368896925,-0.13223327305605787,-0.11064647377938519,DOWN
4b_CGN_s42,qwen3-4b-cleanv2-s42,qwen3-4b-generic-noise-s42,mean_reuse_blocks,12.575384267631103,15.655176311030742,3.079792043399639,1.7863924050632907,4.397564421338155,UP
4b_CGN_s42,qwen3-4b-cleanv2-s42,qwen3-4b-generic-noise-s42,recovered_before_capture_mean,4.870901639344262,4.248031496062992,-0.6228701432812702,-1.214928889490887,-0.04941805692689046,DOWN
4b_CGN_s42,qwen3-4b-cleanv2-s42,qwen3-4b-generic-noise-s42,orbit_given_captured,0.10655737704918032,0.14763779527559054,0.04108041822641022,0.0024582444379033772,0.07955882330724674,UP
4b_CGN_s42,qwen3-4b-cleanv2-s42,qwen3-4b-generic-noise-s42,stop_in_episode_share,0.3004784688995215,0.39304556354916065,0.09256709464963914,0.07906029068369234,0.10604076716019632,UP
4b_CISCA_s42,qwen3-4b-cleanv2-s42,qwen3-4b-isc-a-s42,pooled_capture_hazard,0.014928112572652186,0.00911191987886194,-0.005816192693790247,-0.007642253745055759,-0.004139270654686036,DOWN
4b_CISCA_s42,qwen3-4b-cleanv2-s42,qwen3-4b-isc-a-s42,pooled_gap_stop_hazard,0.15153874098292594,0.12776310301682192,-0.02377563796610402,-0.029349923341353997,-0.01842451610513171,DOWN
4b_CISCA_s42,qwen3-4b-cleanv2-s42,qwen3-4b-isc-a-s42,pooled_inepisode_stop_hazard,0.07684307127561946,0.07943043859416093,0.002587367318541478,-0.0009532086632173832,0.005969566377033333,UNRESOLVED
4b_CISCA_s42,qwen3-4b-cleanv2-s42,qwen3-4b-isc-a-s42,cif_capture_final,0.05522343717257757,0.03877134891778018,-0.016452088254797388,-0.023118407900483987,-0.010008570905839327,DOWN
4b_CISCA_s42,qwen3-4b-cleanv2-s42,qwen3-4b-isc-a-s42,cif_stop_final,0.9447765628274232,0.9612286510822199,0.016452088254796715,0.010008570905838052,0.023118407900484323,UP
4b_CISCA_s42,qwen3-4b-cleanv2-s42,qwen3-4b-isc-a-s42,propensity_component,nan,nan,-0.02172570154311843,-0.02840451593195121,-0.015405378069899184,DOWN
4b_CISCA_s42,qwen3-4b-cleanv2-s42,qwen3-4b-isc-a-s42,exposure_component,nan,nan,0.005273562381300657,0.0037432747721338967,0.006869681537214154,UP
4b_CISCA_s42,qwen3-4b-cleanv2-s42,qwen3-4b-isc-a-s42,decomposition_total,nan,nan,-0.016452139161817772,-0.023118460549295214,-0.010008597702592126,DOWN
4b_CISCA_s42,qwen3-4b-cleanv2-s42,qwen3-4b-isc-a-s42,raw_cif_diff,nan,nan,-0.016452088254797388,-0.023118407900483987,-0.010008570905839327,DOWN
4b_CISCA_s42,qwen3-4b-cleanv2-s42,qwen3-4b-isc-a-s42,capture_rate,0.05515370705244123,0.038765822784810125,-0.016387884267631103,-0.02305605786618445,-0.009945750452079564,DOWN
4b_CISCA_s42,qwen3-4b-cleanv2-s42,qwen3-4b-isc-a-s42,stop_rate,0.9439421338155516,0.961121157323689,0.01717902350813738,0.010623869801084984,0.02396021699819162,UP
4b_CISCA_s42,qwen3-4b-cleanv2-s42,qwen3-4b-isc-a-s42,censor_rate,0.0009041591320072332,0.00011301989150090416,-0.0007911392405063291,-0.0018083182640144665,0.0,UNRESOLVED
4b_CISCA_s42,qwen3-4b-cleanv2-s42,qwen3-4b-isc-a-s42,mean_episodes_experienced,3.694620253164557,4.254407775768535,0.5597875226039783,0.4334030289330925,0.6890851039782999,UP
4b_CISCA_s42,qwen3-4b-cleanv2-s42,qwen3-4b-isc-a-s42,zero_episode_rate,0.2750904159132007,0.20716546112115733,-0.06792495479204338,-0.07956600361663652,-0.0563969258589512,DOWN
4b_CISCA_s42,qwen3-4b-cleanv2-s42,qwen3-4b-isc-a-s42,mean_reuse_blocks,12.575384267631103,11.224909584086799,-1.350474683544304,-2.683764692585895,-0.06114093580470059,DOWN
4b_CISCA_s42,qwen3-4b-cleanv2-s42,qwen3-4b-isc-a-s42,recovered_before_capture_mean,4.870901639344262,3.947521865889213,-0.9233797734550491,-1.522937226375495,-0.3109405728686948,DOWN
4b_CISCA_s42,qwen3-4b-cleanv2-s42,qwen3-4b-isc-a-s42,orbit_given_captured,0.10655737704918032,0.11078717201166181,0.004229794962481492,-0.03761523791001454,0.04721258242839991,UNRESOLVED
4b_CISCA_s42,qwen3-4b-cleanv2-s42,qwen3-4b-isc-a-s42,stop_in_episode_share,0.3004784688995215,0.3515579071134627,0.051079438213941175,0.03752844080596992,0.06457667684683367,UP
4b_CK_s123,qwen3-4b-cleanv2-s123,qwen3-4b-keep4-s123,pooled_capture_hazard,0.012614307023801802,0.04944576537959211,0.03683145835579031,0.0340389150384774,0.039727496465414895,UP
4b_CK_s123,qwen3-4b-cleanv2-s123,qwen3-4b-keep4-s123,pooled_gap_stop_hazard,0.15966867387809597,0.05426405659033723,-0.10540461728775874,-0.11336277649188893,-0.09803819253106058,DOWN
4b_CK_s123,qwen3-4b-cleanv2-s123,qwen3-4b-keep4-s123,pooled_inepisode_stop_hazard,0.08418185355729943,0.04052108100867352,-0.04366077254862591,-0.04711208167538976,-0.04042409347360668,DOWN
4b_CK_s123,qwen3-4b-cleanv2-s123,qwen3-4b-keep4-s123,cif_capture_final,0.043986085842007694,0.33568957015737755,0.29170348431536985,0.27442132213588744,0.30931766595953636,UP
4b_CK_s123,qwen3-4b-cleanv2-s123,qwen3-4b-keep4-s123,cif_stop_final,0.9560139141579925,0.6643104298426221,-0.2917034843153704,-0.309317665959536,-0.274421322135888,DOWN
4b_CK_s123,qwen3-4b-cleanv2-s123,qwen3-4b-keep4-s123,propensity_component,nan,nan,0.16270578712865635,0.14808415694183383,0.17698790234508627,UP
4b_CK_s123,qwen3-4b-cleanv2-s123,qwen3-4b-keep4-s123,exposure_component,nan,nan,0.1289121780372785,0.11935366693649949,0.13915669888888327,UP
4b_CK_s123,qwen3-4b-cleanv2-s123,qwen3-4b-keep4-s123,decomposition_total,nan,nan,0.29161796516593486,0.2743934925481501,0.3091981076108134,UP
4b_CK_s123,qwen3-4b-cleanv2-s123,qwen3-4b-keep4-s123,raw_cif_diff,nan,nan,0.29170348431536985,0.27442132213588744,0.30931766595953636,UP
4b_CK_s123,qwen3-4b-cleanv2-s123,qwen3-4b-keep4-s123,capture_rate,0.04396473779385172,0.33374773960216997,0.28978300180831823,0.27260397830018085,0.3073010849909584,UP
4b_CK_s123,qwen3-4b-cleanv2-s123,qwen3-4b-keep4-s123,stop_rate,0.9556962025316456,0.6610533453887885,-0.2946428571428571,-0.31227396021699827,-0.2773508137432188,DOWN
4b_CK_s123,qwen3-4b-cleanv2-s123,qwen3-4b-keep4-s123,censor_rate,0.0003390596745027125,0.005198915009041591,0.004859855334538879,0.003164556962025317,0.006555153707052441,UP
4b_CK_s123,qwen3-4b-cleanv2-s123,qwen3-4b-keep4-s123,mean_episodes_experienced,3.4853074141048825,6.749773960216999,3.264466546112116,3.0515314195298378,3.467012319168173,UP
4b_CK_s123,qwen3-4b-cleanv2-s123,qwen3-4b-keep4-s123,zero_episode_rate,0.26717902350813744,0.09934448462929475,-0.1678345388788427,-0.18004351265822788,-0.15574141048824594,DOWN
4b_CK_s123,qwen3-4b-cleanv2-s123,qwen3-4b-keep4-s123,mean_reuse_blocks,11.15630650994575,107.626130198915,96.46982368896926,89.90053966998192,103.19768309222422,UP
4b_CK_s123,qwen3-4b-cleanv2-s123,qwen3-4b-keep4-s123,recovered_before_capture_mean,3.9074550128534704,6.474432780223501,2.5669777673700307,2.072939878650454,3.025269845505883,UP
4b_CK_s123,qwen3-4b-cleanv2-s123,qwen3-4b-keep4-s123,orbit_given_captured,0.11568123393316196,0.2533017270572299,0.13762049312406796,0.09990046744498059,0.1745148962231408,UP
4b_CK_s123,qwen3-4b-cleanv2-s123,qwen3-4b-keep4-s123,stop_in_episode_share,0.3068920676202861,0.4115351993214589,0.10464313170117279,0.08753601035631163,0.12180508777209521,UP
4b_CO15_s123,qwen3-4b-cleanv2-s123,qwen3-4b-obr-p15-s123,pooled_capture_hazard,0.012614307023801802,0.02336800423858788,0.010753697214786077,0.008611148592444448,0.012832629001852561,UP
4b_CO15_s123,qwen3-4b-cleanv2-s123,qwen3-4b-obr-p15-s123,pooled_gap_stop_hazard,0.15966867387809597,0.13240772096173384,-0.02726095291636213,-0.03325966924569212,-0.021599746804813993,DOWN
4b_CO15_s123,qwen3-4b-cleanv2-s123,qwen3-4b-obr-p15-s123,pooled_inepisode_stop_hazard,0.08418185355729943,0.07052229441454505,-0.01365955914275438,-0.01716539089320253,-0.010171373575591048,DOWN
4b_CO15_s123,qwen3-4b-cleanv2-s123,qwen3-4b-obr-p15-s123,cif_capture_final,0.043986085842007694,0.09482247135591641,0.05083638551390872,0.04231843090408436,0.05919895203668203,UP
4b_CO15_s123,qwen3-4b-cleanv2-s123,qwen3-4b-obr-p15-s123,cif_stop_final,0.9560139141579925,0.905177528644083,-0.050836385513909566,-0.05919895203668223,-0.0423184309040841,DOWN
4b_CO15_s123,qwen3-4b-cleanv2-s123,qwen3-4b-obr-p15-s123,propensity_component,nan,nan,0.03657560238945081,0.028900012513616312,0.04401646578584676,UP
4b_CO15_s123,qwen3-4b-cleanv2-s123,qwen3-4b-obr-p15-s123,exposure_component,nan,nan,0.014260782221649386,0.011678357511536494,0.017159383844755547,UP
4b_CO15_s123,qwen3-4b-cleanv2-s123,qwen3-4b-obr-p15-s123,decomposition_total,nan,nan,0.0508363846111002,0.0423184308254136,0.059198950828529474,UP
4b_CO15_s123,qwen3-4b-cleanv2-s123,qwen3-4b-obr-p15-s123,raw_cif_diff,nan,nan,0.05083638551390872,0.04231843090408436,0.05919895203668203,UP
4b_CO15_s123,qwen3-4b-cleanv2-s123,qwen3-4b-obr-p15-s123,capture_rate,0.04396473779385172,0.09471066907775769,0.05074593128390597,0.04226943942133815,0.05910940325497287,UP
4b_CO15_s123,qwen3-4b-cleanv2-s123,qwen3-4b-obr-p15-s123,stop_rate,0.9556962025316456,0.904498191681736,-0.0511980108499096,-0.05967450271247743,-0.04271869349005419,DOWN
4b_CO15_s123,qwen3-4b-cleanv2-s123,qwen3-4b-obr-p15-s123,censor_rate,0.0003390596745027125,0.0007911392405063291,0.0004520795660036166,-0.0003390596745027124,0.0012432188065099458,UNRESOLVED
4b_CO15_s123,qwen3-4b-cleanv2-s123,qwen3-4b-obr-p15-s123,mean_episodes_experienced,3.4853074141048825,4.0530063291139244,0.5676989150090419,0.43851435352622053,0.6937189195298374,UP
4b_CO15_s123,qwen3-4b-cleanv2-s123,qwen3-4b-obr-p15-s123,zero_episode_rate,0.26717902350813744,0.2416365280289331,-0.02554249547920434,-0.036847310126582315,-0.013446541591320103,DOWN
4b_CO15_s123,qwen3-4b-cleanv2-s123,qwen3-4b-obr-p15-s123,mean_reuse_blocks,11.15630650994575,18.654724231464737,7.498417721518987,5.558945524412296,9.469834990958407,UP
4b_CO15_s123,qwen3-4b-cleanv2-s123,qwen3-4b-obr-p15-s123,recovered_before_capture_mean,3.9074550128534704,5.028639618138425,1.1211846052849546,0.5715146802730684,1.6418454619713292,UP
4b_CO15_s123,qwen3-4b-cleanv2-s123,qwen3-4b-obr-p15-s123,orbit_given_captured,0.11568123393316196,0.1360381861575179,0.020356952224355934,-0.02102833645939467,0.06291696528582517,UNRESOLVED
4b_CO15_s123,qwen3-4b-cleanv2-s123,qwen3-4b-obr-p15-s123,stop_in_episode_share,0.3068920676202861,0.31573033707865167,0.008838269458365577,-0.00516671579581445,0.022564590431480736,UNRESOLVED
