tag,sample_id,stable_prompt_id,blocks_after_capture,novel_triples_after_capture,new_gold_triples_after_capture,new_gold_pairs_after_capture,gold_pairs_covered_at_capture,gold_pairs_total
qwen3-8b-cleanv2,qwen3-8b-cleanv2:231:0,231,9,0,0,0,27,56
qwen3-8b-cleanv2,qwen3-8b-cleanv2:231:2,231,80,0,0,0,30,56
qwen3-8b-cleanv2,qwen3-8b-cleanv2:231:3,231,27,0,0,0,30,56
qwen3-8b-cleanv2,qwen3-8b-cleanv2:231:4,231,17,0,0,0,31,56
qwen3-8b-cleanv2,qwen3-8b-cleanv2:232:1,232,358,0,0,0,28,89
qwen3-8b-cleanv2,qwen3-8b-cleanv2:238:0,238,263,0,0,0,13,42
qwen3-8b-cleanv2,qwen3-8b-cleanv2:238:7,238,328,0,0,0,4,42
qwen3-8b-cleanv2,qwen3-8b-cleanv2:250:5,250,31,0,0,0,9,68
qwen3-8b-cleanv2,qwen3-8b-cleanv2:252:3,252,9,0,0,0,21,74
qwen3-8b-cleanv2,qwen3-8b-cleanv2:253:0,253,484,0,0,0,12,44
qwen3-8b-cleanv2,qwen3-8b-cleanv2:257:0,257,423,0,0,0,38,76
qwen3-8b-cleanv2,qwen3-8b-cleanv2:259:5,259,24,0,0,0,22,56
qwen3-8b-cleanv2,qwen3-8b-cleanv2:268:7,268,14,0,0,0,4,22
qwen3-8b-cleanv2,qwen3-8b-cleanv2:274:1,274,2,0,0,0,24,83
qwen3-8b-cleanv2,qwen3-8b-cleanv2:274:5,274,12,0,0,0,29,83
qwen3-8b-cleanv2,qwen3-8b-cleanv2:277:0,277,36,0,0,0,14,65
qwen3-8b-cleanv2,qwen3-8b-cleanv2:277:4,277,35,0,0,0,27,65
qwen3-8b-cleanv2,qwen3-8b-cleanv2:280:4,280,0,0,0,0,6,40
qwen3-8b-cleanv2,qwen3-8b-cleanv2:287:1,287,4,0,0,0,11,63
qwen3-8b-cleanv2,qwen3-8b-cleanv2:287:7,287,523,0,0,0,12,63
qwen3-8b-cleanv2,qwen3-8b-cleanv2:291:4,291,247,0,0,0,14,44
qwen3-8b-cleanv2,qwen3-8b-cleanv2:291:5,291,3,0,0,0,12,44
qwen3-8b-cleanv2,qwen3-8b-cleanv2:294:0,294,8,0,0,0,20,79
qwen3-8b-cleanv2,qwen3-8b-cleanv2:294:1,294,61,0,0,0,9,79
qwen3-8b-cleanv2,qwen3-8b-cleanv2:294:2,294,177,0,0,0,22,79
qwen3-8b-cleanv2,qwen3-8b-cleanv2:294:3,294,481,0,0,0,18,79
qwen3-8b-cleanv2,qwen3-8b-cleanv2:294:5,294,55,0,0,0,22,79
qwen3-8b-cleanv2,qwen3-8b-cleanv2:298:0,298,251,0,0,0,47,79
qwen3-8b-cleanv2,qwen3-8b-cleanv2:298:3,298,189,0,0,0,39,79
qwen3-8b-cleanv2,qwen3-8b-cleanv2:298:4,298,222,0,0,0,43,79
qwen3-8b-cleanv2,qwen3-8b-cleanv2:298:5,298,259,0,0,0,31,79
qwen3-8b-cleanv2,qwen3-8b-cleanv2:301:3,301,18,0,0,0,14,39
qwen3-8b-cleanv2,qwen3-8b-cleanv2:314:3,314,0,0,0,0,15,36
qwen3-8b-cleanv2,qwen3-8b-cleanv2:323:7,323,131,0,0,0,3,22
qwen3-8b-cleanv2,qwen3-8b-cleanv2:325:0,325,7,0,0,0,3,30
qwen3-8b-cleanv2,qwen3-8b-cleanv2:325:1,325,0,0,0,0,4,30
qwen3-8b-cleanv2,qwen3-8b-cleanv2:325:2,325,5,0,0,0,2,30
qwen3-8b-cleanv2,qwen3-8b-cleanv2:325:7,325,514,0,0,0,2,30
qwen3-8b-cleanv2,qwen3-8b-cleanv2:328:5,328,485,0,0,0,3,34
qwen3-8b-cleanv2,qwen3-8b-cleanv2:328:6,328,448,0,0,0,3,34
qwen3-8b-cleanv2,qwen3-8b-cleanv2:329:2,329,1,0,0,0,13,58
qwen3-8b-cleanv2,qwen3-8b-cleanv2:329:4,329,2,0,0,0,16,58
qwen3-8b-cleanv2,qwen3-8b-cleanv2:332:4,332,22,22,0,0,22,46
qwen3-8b-cleanv2,qwen3-8b-cleanv2:336:7,336,17,0,0,0,1,47
qwen3-8b-cleanv2,qwen3-8b-cleanv2:342:4,342,25,20,1,3,7,23
qwen3-8b-cleanv2,qwen3-8b-cleanv2:343:2,343,65,0,0,0,16,57
qwen3-8b-cleanv2,qwen3-8b-cleanv2:345:4,345,125,0,0,0,11,86
qwen3-8b-cleanv2,qwen3-8b-cleanv2:345:7,345,450,0,0,0,11,86
qwen3-8b-cleanv2,qwen3-8b-cleanv2:347:0,347,11,0,0,0,16,91
qwen3-8b-cleanv2,qwen3-8b-cleanv2:348:5,348,355,0,0,0,6,31
qwen3-8b-cleanv2,qwen3-8b-cleanv2:355:0,355,6,0,0,0,14,56
qwen3-8b-cleanv2,qwen3-8b-cleanv2:356:0,356,68,0,0,0,19,58
qwen3-8b-cleanv2,qwen3-8b-cleanv2:356:2,356,401,0,0,0,10,58
qwen3-8b-cleanv2,qwen3-8b-cleanv2:356:3,356,396,0,0,0,15,58
qwen3-8b-cleanv2,qwen3-8b-cleanv2:356:4,356,12,0,0,0,14,58
