tag,sample_id,stable_prompt_id,blocks_after_capture,novel_triples_after_capture,new_gold_triples_after_capture,new_gold_pairs_after_capture,gold_pairs_covered_at_capture,gold_pairs_total
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:81:5,81,39,19,0,0,11,110
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:83:3,83,14,0,0,0,3,91
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:83:6,83,40,0,0,0,6,91
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:86:3,86,0,0,0,0,16,45
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:87:6,87,324,0,0,0,6,43
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:87:7,87,2,0,0,0,7,43
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:89:3,89,1,0,0,0,19,74
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:89:7,89,7,0,0,0,14,74
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:93:3,93,0,0,0,0,10,47
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:94:7,94,248,0,0,0,12,55
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:100:0,100,0,0,0,0,15,62
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:103:2,103,16,0,0,0,22,47
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:113:1,113,335,0,0,0,3,9
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:113:4,113,193,0,0,0,2,9
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:113:5,113,68,0,0,0,0,9
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:113:6,113,58,0,0,0,2,9
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:114:0,114,6,0,0,0,3,13
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:114:1,114,2,0,0,0,4,13
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:117:1,117,21,0,0,0,5,41
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:117:3,117,24,0,0,0,4,41
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:117:7,117,12,0,0,0,12,41
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:118:0,118,27,0,0,0,16,60
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:118:5,118,0,0,0,0,20,60
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:118:7,118,14,0,0,0,9,60
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:119:0,119,512,0,0,0,9,86
