metric,m0,m1,diff,ci_low,ci_high,n_prompts,n_m0,n_m1,direction,contrast,m0_tag,m1_tag
out_of_text_endpoint_rate,0.011093495245966308,0.01212903946626374,0.0010355442202974324,-0.0015948382051345774,0.0034311652041473556,1106,8848,8848,interval_covers_zero,GenericNoise - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-generic-noise-s42
strict_f1,0.09074541474238673,0.08772982053427869,-0.003015594208108041,-0.004727594776928887,-0.001478497033655585,1106,8848,8848,m1_lower,GenericNoise - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-generic-noise-s42
relaxed_f1,0.33887731691553613,0.33454626686014527,-0.0043310500553908615,-0.007082081680810511,-0.001574828173042202,1106,8848,8848,m1_lower,GenericNoise - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-generic-noise-s42
semantic_capture_rate,0.05515370705244123,0.20467902350813744,0.14952531645569622,0.13698010849909587,0.16252260397830018,1106,8848,8848,m1_higher,keep4-A - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-keep4a-s42
stable_orbit_rate,0.00599005424954792,0.04238245931283906,0.03639240506329114,0.03130650994575045,0.042043399638336344,1106,8848,8848,m1_higher,keep4-A - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-keep4a-s42
hit_max_rate,0.011415009041591321,0.07900090415913201,0.06758589511754069,0.059558657323688965,0.0760623869801085,1106,8848,8848,m1_higher,keep4-A - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-keep4a-s42
runaway_any_rate,0.010962929475587703,0.08273056057866185,0.07176763110307414,0.06374321880650995,0.08035714285714285,1106,8848,8848,m1_higher,keep4-A - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-keep4a-s42
json_list_complete_rate,0.9873417721518988,0.9151220614828209,-0.07221971066907784,-0.08080922242314648,-0.06408227848101267,1106,8848,8848,m1_lower,keep4-A - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-keep4a-s42
gen_tokens_mean,4733.512658227848,8031.812613019892,3298.2999547920435,3085.657620366184,3512.0465670207955,1106,8848,8848,m1_higher,keep4-A - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-keep4a-s42
n_blocks_mean,80.91478300180832,139.001130198915,58.08634719710669,54.22519778481014,61.970558318264025,1106,8848,8848,m1_higher,keep4-A - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-keep4a-s42
out_of_candidate_block_rate,0.027345255790861518,0.22648179287026024,0.1991365370793987,0.18909897198616563,0.20966578341359998,1106,8848,8848,m1_higher,keep4-A - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-keep4a-s42
out_of_text_endpoint_rate,0.011093495245966308,0.07582810428030458,0.06473460903433827,0.05744049766768208,0.07274446899276964,1106,8848,8848,m1_higher,keep4-A - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-keep4a-s42
strict_f1,0.09074541474238673,0.08229642361806755,-0.008448991124319183,-0.010202867346603535,-0.00662950084644117,1106,8848,8848,m1_lower,keep4-A - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-keep4a-s42
relaxed_f1,0.33887731691553613,0.30237496371820344,-0.03650235319733269,-0.04033957485877622,-0.03252274511354427,1106,8848,8848,m1_lower,keep4-A - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-keep4a-s42
semantic_capture_rate,0.05515370705244123,0.1385623869801085,0.08340867992766728,0.073123869801085,0.09324141048824591,1106,8848,8848,m1_higher,keep4-AE - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-keep4ae-s42
stable_orbit_rate,0.00599005424954792,0.025768535262206148,0.01977848101265823,0.015596745027124775,0.024073236889692585,1106,8848,8848,m1_higher,keep4-AE - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-keep4ae-s42
hit_max_rate,0.011415009041591321,0.03469710669077758,0.02328209764918626,0.01853243670886076,0.02859403254972875,1106,8848,8848,m1_higher,keep4-AE - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-keep4ae-s42
runaway_any_rate,0.010962929475587703,0.039783001808318265,0.02882007233273056,0.02339511754068716,0.03435804701627486,1106,8848,8848,m1_higher,keep4-AE - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-keep4ae-s42
json_list_complete_rate,0.9873417721518988,0.963381555153707,-0.02396021699819173,-0.029385171790235032,-0.01898734177215189,1106,8848,8848,m1_lower,keep4-AE - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-keep4ae-s42
gen_tokens_mean,4733.512658227848,6011.609855334539,1278.097197106691,1131.839621948463,1430.5950525542494,1106,8848,8848,m1_higher,keep4-AE - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-keep4ae-s42
n_blocks_mean,80.91478300180832,102.85816003616637,21.94337703435805,19.359473892405063,24.58889579566003,1106,8848,8848,m1_higher,keep4-AE - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-keep4ae-s42
out_of_candidate_block_rate,0.027345255790861518,0.15027596456310424,0.12293070877224273,0.11160609296020291,0.13442478741717753,1106,8848,8848,m1_higher,keep4-AE - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-keep4ae-s42
out_of_text_endpoint_rate,0.011093495245966308,0.11317566680495528,0.10208217155898897,0.09093028287745458,0.11387924884790572,1106,8848,8848,m1_higher,keep4-AE - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-keep4ae-s42
strict_f1,0.09074541474238673,0.0886582862233874,-0.002087128518999337,-0.0037505057839680176,-0.0004662204142760553,1106,8848,8848,m1_lower,keep4-AE - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-keep4ae-s42
