sample_id,stable_prompt_id,model_tag,seed,kind,seed_ordinal,prior_reuse_events,progress,after_1g,after_1_25g,after_last_new_relaxed,relaxed_coverage,relaxed_fraction_of_final
M0:253:0,253,M0,0,primary_semantic_capture,2,1,1.7045454545454546,True,True,True,0.2727272727272727,1.0
M0:257:0,257,M0,0,primary_semantic_capture,7,6,0.868421052631579,False,False,True,0.5,1.0
M0:259:5,259,M0,5,primary_semantic_capture,2,1,1.1964285714285714,True,False,True,0.39285714285714285,1.0
M0:268:7,268,M0,7,primary_semantic_capture,4,3,1.0454545454545454,True,False,True,0.18181818181818182,1.0
M0:274:1,274,M0,1,primary_semantic_capture,6,5,1.0963855421686748,True,False,True,0.2891566265060241,1.0
M0:274:5,274,M0,5,primary_semantic_capture,13,12,0.927710843373494,False,False,True,0.3493975903614458,1.0
M0:277:0,277,M0,0,primary_semantic_capture,11,10,1.3076923076923077,True,True,True,0.2153846153846154,1.0
M0:277:4,277,M0,4,primary_semantic_capture,20,19,1.5076923076923077,True,True,True,0.4153846153846154,1.0
M0:280:4,280,M0,4,primary_semantic_capture,2,1,1.8,True,True,True,0.15,1.0
M0:287:1,287,M0,1,primary_semantic_capture,16,15,1.2222222222222223,True,False,True,0.1746031746031746,1.0
M0:287:7,287,M0,7,primary_semantic_capture,3,2,0.9365079365079365,False,False,True,0.19047619047619047,1.0
M0:287:7,287,M0,7,legacy_aligned_capture,4,3,0.9523809523809523,False,False,True,0.19047619047619047,1.0
M0:291:4,291,M0,4,primary_semantic_capture,4,3,1.0227272727272727,True,False,True,0.3181818181818182,1.0
M0:291:4,291,M0,4,legacy_aligned_capture,4,3,1.0227272727272727,True,False,True,0.3181818181818182,1.0
M0:291:5,291,M0,5,primary_semantic_capture,5,4,1.6136363636363635,True,True,True,0.2727272727272727,1.0
M0:294:0,294,M0,0,primary_semantic_capture,4,3,1.139240506329114,True,False,True,0.25316455696202533,1.0
M0:294:1,294,M0,1,primary_semantic_capture,6,5,0.7088607594936709,False,False,True,0.11392405063291139,1.0
M0:294:2,294,M0,2,primary_semantic_capture,4,3,0.7215189873417721,False,False,True,0.27848101265822783,1.0
M0:294:3,294,M0,3,primary_semantic_capture,4,3,0.7721518987341772,False,False,True,0.22784810126582278,1.0
