episode_variant,capture_kind,scope,metric,m0,m1,diff_or_value,ci_low,ci_high,n_m0,n_m1,direction
lineage,legacy,slot,propensity_component,nan,nan,0.0004855469014015362,-0.001822276493779596,0.0027829928920909334,nan,nan,UNRESOLVED
lineage,legacy,slot,exposure_component,nan,nan,0.0021095213413465665,0.0015645154639750795,0.002742105658264123,nan,nan,UP
lineage,legacy,slot,decomposition_total,nan,nan,0.0025950682427481027,0.00033348452584614136,0.0048585101110139375,nan,nan,UP
lineage,legacy,slot,identity_error,nan,nan,0.0,0.0,0.0,nan,nan,UNRESOLVED
lineage,legacy,slot,raw_cif_diff,nan,nan,0.0025950682427481027,0.00033348452584614136,0.004858510111013937,nan,nan,UP
lineage,legacy,slot,hazard_k1,0.0015590894917368258,0.0018701576275714667,0.0003110681358346409,-0.0009773130753767242,0.0016001379242455353,nan,nan,UNRESOLVED
lineage,legacy,slot,hazard_k2,0.0018514708907632176,0.0025694555965954714,0.0007179847058322538,-0.0010202987899319016,0.0024200292779799353,nan,nan,UNRESOLVED
lineage,legacy,slot,hazard_k3,0.0033282130056323605,0.0019116803670426305,-0.00141653263858973,-0.003472009159061569,0.00048021876762114555,nan,nan,UNRESOLVED
lineage,legacy,slot,hazard_k4,0.0009612303748798462,0.0029626253418413855,0.002001394966961539,0.0003994779630130932,0.0037629930059781694,nan,nan,UP
lineage,legacy,slot,hazard_k5,0.001178318931657502,0.0016478989288656962,0.0004695799972081942,-0.0014908938754467289,0.002313971493049294,nan,nan,UNRESOLVED
lineage,legacy,slot,hazard_k6,0.0023946360153256703,0.0006533812479581836,-0.0017412547673674866,-0.003972269431512152,6.985394273920346e-05,nan,nan,UNRESOLVED
lineage,legacy,slot,hazard_k7,0.002871912693854107,0.0011741682974559687,-0.0016977443963981382,-0.0044427216524853055,0.0006151185133390205,nan,nan,UNRESOLVED
lineage,legacy,slot,hazard_k8,0.000715307582260372,0.0023408239700374533,0.0016255163877770813,-0.0009255182005965714,0.00424767432087884,nan,nan,UNRESOLVED
lineage,legacy,slot,hazard_k9plus_pooled,0.00039703546850185283,0.0005386479935362241,0.00014161252503437123,-0.00017829925347358463,0.0005224493972138267,nan,nan,UNRESOLVED
lineage,legacy,slot,cif_capture_at_k1,0.0011314323718854158,0.0015831239410612889,0.00045169156917587304,-0.0005657647267605732,0.001469636066129357,nan,nan,UNRESOLVED
lineage,legacy,slot,cif_capture_at_k2,0.0021514386339702212,0.003393202498796913,0.001241763864826692,-0.00022863951381785831,0.0027150107364892376,nan,nan,UNRESOLVED
lineage,legacy,slot,cif_capture_at_k3,0.003625750742053551,0.004525461953152973,0.0008997112110994219,-0.0009079498047791469,0.002706885245903384,nan,nan,UNRESOLVED
lineage,legacy,slot,cif_capture_at_k5,0.004307276337513037,0.006680246079048883,0.0023729697415358457,0.0002190150874314339,0.004411639880567294,nan,nan,UP
