metric,m0,m1,diff,ci_low,ci_high,n_prompts,n_m0,n_m1,direction,scale,model_tag,condition,comparison
unresolved_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-cleanv2,direction_a2,vs_baseline
unresolved_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-cleanv2,random0_a1,vs_baseline
unresolved_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-cleanv2,random1_a1,vs_baseline
unresolved_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-cleanv2,random2_a1,vs_baseline
unresolved_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-cleanv2,random3_a1,vs_baseline
unresolved_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-cleanv2,random4_a1,vs_baseline
unresolved_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-cleanv2,random5_a1,vs_baseline
unresolved_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-cleanv2,random6_a1,vs_baseline
unresolved_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-cleanv2,random7_a1,vs_baseline
unresolved_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-cleanv2,direction_a1,vs_random_mean
next_event_close_rate,0.111328125,0.1162109375,0.0048828125,-0.010659210153148049,0.020511750252016108,118,128,128,interval_covers_zero,8B,qwen3-8b-keep4-s42,close_bias,vs_baseline
next_event_close_rate,0.111328125,0.18798828125,0.07666015625,0.05009672619047619,0.10498046875,118,128,128,m1_higher,8B,qwen3-8b-keep4-s42,direction_a0.5,vs_baseline
next_event_close_rate,0.111328125,0.265625,0.154296875,0.11635628720952565,0.1926315614128605,118,128,128,m1_higher,8B,qwen3-8b-keep4-s42,direction_a1,vs_baseline
next_event_close_rate,0.111328125,0.4384765625,0.3271484375,0.271136811023622,0.38413461538461535,118,128,128,m1_higher,8B,qwen3-8b-keep4-s42,direction_a2,vs_baseline
next_event_close_rate,0.111328125,0.1416015625,0.0302734375,0.009499999999999995,0.05285111776565463,118,128,128,m1_higher,8B,qwen3-8b-keep4-s42,random0_a1,vs_baseline
next_event_close_rate,0.111328125,0.10693359375,-0.00439453125,-0.02407877646185618,0.01339718300110739,118,128,128,interval_covers_zero,8B,qwen3-8b-keep4-s42,random1_a1,vs_baseline
next_event_close_rate,0.111328125,0.12744140625,0.01611328125,0.0,0.03314393939393939,118,128,128,interval_covers_zero,8B,qwen3-8b-keep4-s42,random2_a1,vs_baseline
next_event_close_rate,0.111328125,0.10107421875,-0.01025390625,-0.03177598110465116,0.00912435078607524,118,128,128,interval_covers_zero,8B,qwen3-8b-keep4-s42,random3_a1,vs_baseline
next_event_close_rate,0.111328125,0.09814453125,-0.01318359375,-0.029583476723814298,0.0028631459189665314,118,128,128,interval_covers_zero,8B,qwen3-8b-keep4-s42,random4_a1,vs_baseline
next_event_close_rate,0.111328125,0.10400390625,-0.00732421875,-0.02588193359375,0.010336696194225706,118,128,128,interval_covers_zero,8B,qwen3-8b-keep4-s42,random5_a1,vs_baseline
next_event_close_rate,0.111328125,0.1015625,-0.009765625,-0.028002519379844958,0.007874015748031482,118,128,128,interval_covers_zero,8B,qwen3-8b-keep4-s42,random6_a1,vs_baseline
next_event_close_rate,0.111328125,0.09423828125,-0.01708984375,-0.03435174141221374,-0.0018173068363895705,118,128,128,m1_lower,8B,qwen3-8b-keep4-s42,random7_a1,vs_baseline
next_event_close_rate,0.109375,0.265625,0.15625,0.12033739175700686,0.19412571564885492,118,128,128,m1_higher,8B,qwen3-8b-keep4-s42,direction_a1,vs_random_mean
margin_first_policy,-5.943080357142857,-5.943080357142857,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-keep4-s42,close_bias,vs_baseline
margin_first_policy,-5.943080357142857,-4.528459821428572,1.4146205357142847,1.282083367359902,1.5541333705357143,118,128,128,m1_higher,8B,qwen3-8b-keep4-s42,direction_a0.5,vs_baseline
margin_first_policy,-5.943080357142857,-3.2659040178571432,2.6771763392857135,2.419081601991759,2.946463448660716,118,128,128,m1_higher,8B,qwen3-8b-keep4-s42,direction_a1,vs_baseline
margin_first_policy,-5.943080357142857,-1.2444196428571432,4.6986607142857135,4.233870637949837,5.1843948732718905,118,128,128,m1_higher,8B,qwen3-8b-keep4-s42,direction_a2,vs_baseline
margin_first_policy,-5.943080357142857,-5.4255022321428585,0.5175781249999982,0.46658986175115125,0.5719794647469277,118,128,128,m1_higher,8B,qwen3-8b-keep4-s42,random0_a1,vs_baseline
margin_first_policy,-5.943080357142857,-5.890066964285715,0.05301339285714146,0.023529832253146088,0.08056177149222284,118,128,128,m1_higher,8B,qwen3-8b-keep4-s42,random1_a1,vs_baseline
margin_first_policy,-5.943080357142857,-5.707310267857142,0.2357700892857144,0.19942594282238427,0.27155434456994976,118,128,128,m1_higher,8B,qwen3-8b-keep4-s42,random2_a1,vs_baseline
margin_first_policy,-5.943080357142857,-6.040736607142858,-0.09765625000000089,-0.1301218161683284,-0.06624027087339882,118,128,128,m1_lower,8B,qwen3-8b-keep4-s42,random3_a1,vs_baseline
margin_first_policy,-5.943080357142857,-6.360212053571429,-0.41713169642857206,-0.46226958525345374,-0.3736168032786881,118,128,128,m1_lower,8B,qwen3-8b-keep4-s42,random4_a1,vs_baseline
margin_first_policy,-5.943080357142857,-6.100725446428573,-0.1576450892857162,-0.18982002249718735,-0.12813066186382924,118,128,128,m1_lower,8B,qwen3-8b-keep4-s42,random5_a1,vs_baseline
margin_first_policy,-5.943080357142857,-6.1997767857142865,-0.2566964285714297,-0.29233870967741904,-0.22250566893424212,118,128,128,m1_lower,8B,qwen3-8b-keep4-s42,random6_a1,vs_baseline
margin_first_policy,-5.943080357142857,-6.125837053571429,-0.18275669642857206,-0.21196510235191687,-0.15485024210840648,118,128,128,m1_lower,8B,qwen3-8b-keep4-s42,random7_a1,vs_baseline
margin_first_policy,-5.9812709263392865,-3.2659040178571432,2.7153669084821432,2.455871582031251,2.9839586184408655,118,128,128,m1_higher,8B,qwen3-8b-keep4-s42,direction_a1,vs_random_mean
close_sampler_prob,0.11310841429976042,0.11310841429976042,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-keep4-s42,close_bias,vs_baseline
close_sampler_prob,0.11310841429976042,0.18418618848081775,0.07107777418105733,0.0526750407956866,0.09056717997272387,118,128,128,m1_higher,8B,qwen3-8b-keep4-s42,direction_a0.5,vs_baseline
close_sampler_prob,0.11310841429976042,0.26189347705099786,0.14878506275123743,0.11691677763730365,0.1812094520226711,118,128,128,m1_higher,8B,qwen3-8b-keep4-s42,direction_a1,vs_baseline
close_sampler_prob,0.11310841429976042,0.436618186130608,0.32350977183084756,0.2703620141402758,0.37655282699442266,118,128,128,m1_higher,8B,qwen3-8b-keep4-s42,direction_a2,vs_baseline
close_sampler_prob,0.11310841429976042,0.14456622652708015,0.031457812227319734,0.021670584219182186,0.04208288709760972,118,128,128,m1_higher,8B,qwen3-8b-keep4-s42,random0_a1,vs_baseline
close_sampler_prob,0.11310841429976042,0.11983215022201736,0.006723735922256946,0.0029271945798155057,0.011613415245518921,118,128,128,m1_higher,8B,qwen3-8b-keep4-s42,random1_a1,vs_baseline
close_sampler_prob,0.11310841429976042,0.12391354465636831,0.010805130356607892,0.005437037151932287,0.017188480251570454,118,128,128,m1_higher,8B,qwen3-8b-keep4-s42,random2_a1,vs_baseline
close_sampler_prob,0.11310841429976042,0.09971924291946774,-0.013389171380292678,-0.021035950401341798,-0.007092181796621519,118,128,128,m1_lower,8B,qwen3-8b-keep4-s42,random3_a1,vs_baseline
close_sampler_prob,0.11310841429976042,0.09183721604779863,-0.02127119825196179,-0.030008421906545804,-0.013181362598603018,118,128,128,m1_lower,8B,qwen3-8b-keep4-s42,random4_a1,vs_baseline
close_sampler_prob,0.11310841429976042,0.10486406813777031,-0.008244346161990102,-0.014302082665120425,-0.0033394911367878475,118,128,128,m1_lower,8B,qwen3-8b-keep4-s42,random5_a1,vs_baseline
close_sampler_prob,0.11310841429976042,0.09922410785148333,-0.013884306448277081,-0.021137851145153524,-0.008004696594161942,118,128,128,m1_lower,8B,qwen3-8b-keep4-s42,random6_a1,vs_baseline
close_sampler_prob,0.11310841429976042,0.09935189079893313,-0.013756523500827289,-0.020904620470898833,-0.007869786916759856,118,128,128,m1_lower,8B,qwen3-8b-keep4-s42,random7_a1,vs_baseline
close_sampler_prob,0.11041355589511487,0.26189347705099786,0.151479921155883,0.11964697921850838,0.18428659797643418,118,128,128,m1_higher,8B,qwen3-8b-keep4-s42,direction_a1,vs_random_mean
eos_without_close_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-keep4-s42,close_bias,vs_baseline
eos_without_close_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-keep4-s42,direction_a0.5,vs_baseline
eos_without_close_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-keep4-s42,direction_a1,vs_baseline
eos_without_close_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-keep4-s42,direction_a2,vs_baseline
eos_without_close_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-keep4-s42,random0_a1,vs_baseline
eos_without_close_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-keep4-s42,random1_a1,vs_baseline
eos_without_close_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-keep4-s42,random2_a1,vs_baseline
eos_without_close_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-keep4-s42,random3_a1,vs_baseline
eos_without_close_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-keep4-s42,random4_a1,vs_baseline
eos_without_close_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-keep4-s42,random5_a1,vs_baseline
eos_without_close_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-keep4-s42,random6_a1,vs_baseline
eos_without_close_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-keep4-s42,random7_a1,vs_baseline
