scale,model_tag,role,condition,n_continuations,n_anchors,tail_capture,tail_capture_n,tail_orbit,tail_orbit_n,actual_eos,actual_eos_n,tail_hit_max,tail_hit_max_n,json_complete,json_complete_n,new_gold_triples,new_gold_triples_n,new_gold_pairs,new_gold_pairs_n,remaining_gold_pair_recall,remaining_gold_pair_recall_n,tail_tokens,tail_tokens_n,n_blocks_tail,n_blocks_tail_n
4B,qwen3-4b-cleanv2-s42,pre_first_reuse,direction_a1,64,16,0.03125,64,0.0,64,0.984375,64,0.015625,64,0.984375,64,0.453125,64,1.703125,64,0.05420116205448541,64,1761.9375,64,29.21875,64
4B,qwen3-4b-cleanv2-s42,pre_first_reuse,random_matched,64,16,0.046875,64,0.0,64,1.0,64,0.0,64,1.0,64,0.609375,64,2.46875,64,0.080331893700913,64,1606.328125,64,27.53125,64
4B,qwen3-4b-keep4-s42,all,baseline,256,64,0.27734375,256,0.0234375,256,0.8359375,256,0.1640625,256,0.8359375,256,1.30078125,256,5.03125,256,0.14537718850319442,256,6638.71875,256,117.125,256
4B,qwen3-4b-keep4-s42,all,close_bias,256,64,0.3046875,256,0.04296875,256,0.8359375,256,0.1640625,256,0.8359375,256,1.10546875,256,4.77734375,256,0.13924993876441058,256,6889.72265625,256,122.78515625,256
4B,qwen3-4b-keep4-s42,all,direction_a1,256,64,0.21875,256,0.01953125,256,0.8671875,256,0.1328125,256,0.8671875,256,1.3515625,256,5.15234375,256,0.15171223559129157,256,6036.41015625,256,105.75390625,256
4B,qwen3-4b-keep4-s42,all,random_matched,256,64,0.2578125,256,0.015625,256,0.85546875,256,0.14453125,256,0.85546875,256,1.06640625,256,4.890625,256,0.14600451547674698,256,6424.5390625,256,112.2265625,256
4B,qwen3-4b-keep4-s42,early_remaining,baseline,128,32,0.296875,128,0.0234375,128,0.8046875,128,0.1953125,128,0.8046875,128,2.0703125,128,8.28125,128,0.23263925397897658,128,8449.9921875,128,149.0703125,128
4B,qwen3-4b-keep4-s42,early_remaining,close_bias,128,32,0.3203125,128,0.046875,128,0.8046875,128,0.1953125,128,0.8046875,128,1.7265625,128,7.953125,128,0.22489281897363872,128,8908.1640625,128,159.8828125,128
4B,qwen3-4b-keep4-s42,early_remaining,direction_a1,128,32,0.2421875,128,0.03125,128,0.8515625,128,0.1484375,128,0.8515625,128,2.03125,128,8.2265625,128,0.22832173453183993,128,7758.140625,128,137.890625,128
4B,qwen3-4b-keep4-s42,early_remaining,random_matched,128,32,0.25,128,0.0078125,128,0.84375,128,0.15625,128,0.84375,128,1.6953125,128,8.0078125,128,0.22938093299822834,128,7808.6015625,128,137.78125,128
