model_tag,model_path,probe_id,stable_prompt_id,m,anchor_region,k_1based,gold_blocks,s_R_C1,s_N_C1,s_R_C2,s_N_C2,s_R_C3,s_N_C3,gain_motif,gain_copy,gain_recovery,margin_c1,margin_c2,gain_second,seconds
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,17972ce916f6dbfa39c5d97d,946,8,mid,30,47,-1.0476131439208984,-0.9764221906661987,-0.559438169002533,-1.2367218732833862,-0.25426656007766724,-1.5113102197647095,0.748474657535553,0.4881749749183655,0.2602996826171875,-0.07119095325469971,0.6772837042808533,0.579759955406189,0.88
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,e94272e4403e13f8ac2a3f8a,486,1,early,18,78,-2.4416158199310303,-0.0006432533264160156,-1.4697322845458984,-0.011909961700439453,-0.779214084148407,-0.0661630630493164,0.9831502437591553,0.9718835353851318,0.011266708374023438,-2.4409725666046143,-1.457822322845459,0.7447713017463684,1.04
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,39d676cfc97004052c2d3241,486,2,late,63,78,-1.2883275747299194,-0.011112022213637829,-0.904667317867279,-0.055669404566287994,-0.5449528098106384,-0.1374547928571701,0.42821763921529055,0.3836602568626404,0.044557382352650166,-1.2772155525162816,-0.8489979133009911,0.44149989634752274,1.52
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,a33658a1d23bdea24fa8fec8,486,4,mid,50,78,-2.6991710662841797,-0.6361944675445557,-1.1370189189910889,-0.732273519039154,-0.5058590769767761,-0.8431587219238281,1.6582311987876892,1.5621521472930908,0.09607905149459839,-2.062976598739624,-0.4047453999519348,0.7420450448989868,1.4
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,7cc358348ddf394d323d54fa,486,8,early,26,78,-4.590978622436523,-0.0005865097045898438,-2.0069804191589355,-0.01683775708079338,-0.908045768737793,-0.031985603272914886,2.6002494506537914,2.583998203277588,0.016251247376203537,-4.590392112731934,-1.9901426620781422,1.114082496613264,1.17
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,48130e24fa784953221be0bb,818,1,late,57,67,-2.674217700958252,-1.968334436416626,-1.6517305374145508,-1.9586098194122314,-0.7227414846420288,-2.11034893989563,1.0127625465393066,1.0224871635437012,-0.009724617004394531,-0.705883264541626,0.30687928199768066,1.0807281732559204,1.12
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,3216248b1968553ebb30ec9f,818,2,mid,24,67,-0.7856791615486145,-0.0022368114441633224,-0.8359582424163818,-0.014721044339239597,-0.6903530359268188,-0.04460690915584564,-0.03779484797269106,-0.050279080867767334,0.012484232895076275,-0.7834423501044512,-0.8212371980771422,0.17549107130616903,0.78
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,36649eed8f05a9b78cc1875d,818,4,early,22,67,-0.873946487903595,-0.0007097880588844419,-0.7099924683570862,-0.015865707769989967,-0.3747203052043915,-0.04958178475499153,0.17910993925761431,0.1639540195465088,0.015155919711105525,-0.8732366998447105,-0.6941267605870962,0.36898824013769627,0.78
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,6a82449c7761420da3e6af42,818,8,late,52,67,-0.8243885636329651,-0.0031703501008450985,-0.6875787973403931,-0.010860443115234375,-0.178439661860466,-0.07562413066625595,0.1444998593069613,0.13680976629257202,0.0076900930143892765,-0.82121821353212,-0.6767183542251587,0.5739028230309486,1.17
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,e2f0402e72c1eea5bf7cb394,173,1,mid,22,46,-1.8810129165649414,-0.1678265780210495,-1.7034242153167725,-0.14071787893772125,-1.0700291395187378,-0.13922515511512756,0.1504800021648407,0.17758870124816895,-0.027108699083328247,-1.713186338543892,-1.5627063363790512,0.631902351975441,0.83
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,22685a36833c8afad29b8930,173,2,early,2,46,-1.318153738975525,-0.34629127383232117,-1.4246608018875122,-0.3674599230289459,-1.0844414234161377,-0.37732842564582825,-0.08533841371536255,-0.1065070629119873,0.021168649196624756,-0.9718624651432037,-1.0572008788585663,0.35008788108825684,0.61
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,e377f463eb8164fa1657be49,173,4,late,38,46,-0.9659190773963928,-1.108931064605713,-0.8406932950019836,-1.1580448150634766,-0.49765926599502563,-1.103617548942566,0.17433953285217285,0.12522578239440918,0.04911375045776367,0.14301198720932007,0.3173515200614929,0.28860676288604736,1.08
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,f0b32eb9c99f732215dc31ed,173,8,mid,19,46,-0.6791291832923889,-0.03592681884765625,-0.39413249492645264,-0.27038687467575073,-0.028422802686691284,-0.5193769335746765,0.5194567441940308,0.2849966883659363,0.23446005582809448,-0.6432023644447327,-0.1237456202507019,0.6146997511386871,0.9
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,93d27ad4060eeccaaa5dece9,884,1,early,2,70,-1.0735125541687012,-1.4673961400985718,-0.7906391620635986,-1.4205621480941772,-0.4118928909301758,-1.444035291671753,0.236039400100708,0.28287339210510254,-0.04683399200439453,0.3938835859298706,0.6299229860305786,0.40221941471099854,0.57
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,dbfb8860e9a82f3be2f32882,884,2,late,67,70,-0.9399085640907288,-0.9478206634521484,-0.6624965667724609,-0.8090617656707764,-0.0785234272480011,-0.7471386790275574,0.13865309953689575,0.2774119973182678,-0.13875889778137207,0.007912099361419678,0.14656519889831543,0.5220500528812408,1.27
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,07a542ac28251f02cd239792,884,4,mid,25,70,-1.2195930480957031,-0.10649251937866211,-0.41663625836372375,-0.31668925285339355,-0.037865567952394485,-0.5741066932678223,1.0131535232067108,0.8029567897319794,0.21019673347473145,-1.113100528717041,-0.0999470055103302,0.636188130825758,0.85
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,871c09c2801b764bd57b94ac,884,8,early,15,70,-0.9491655826568604,-0.815021276473999,-0.9304754734039307,-0.805784285068512,-0.5262300968170166,-0.7844475507736206,0.009453117847442627,0.018690109252929688,-0.00923699140548706,-0.13414430618286133,-0.1246911883354187,0.3829086422920227,0.8
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,b8722afac2d3edae146a405c,674,1,late,39,44,-1.7950036525726318,-0.9353646039962769,-0.9081147313117981,-0.8966528177261353,-0.37663713097572327,-0.8860648274421692,0.8481771349906921,0.8868889212608337,-0.0387117862701416,-0.859639048576355,-0.011461913585662842,0.5208896100521088,0.92
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,935f16b232831be318dbd400,674,2,mid,21,44,-1.1416810750961304,-1.2050566673278809,-0.7337512969970703,-1.1161330938339233,-0.5626656413078308,-1.0790694952011108,0.31900620460510254,0.40792977809906006,-0.08892357349395752,0.06337559223175049,0.382381796836853,0.134022057056427,0.77
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,112c4b896dbfe413e4669ae4,674,4,early,12,44,-1.3062691688537598,-0.03453473001718521,-0.9708548784255981,-0.06718717515468597,-0.46853575110435486,-0.201753631234169,0.3680667355656624,0.3354142904281616,0.03265244513750076,-1.2717344388365746,-0.9036677032709122,0.6368855834007263,0.71
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,d35e2109a55bfc644f33bc71,674,8,late,40,44,-1.6464998722076416,-0.7778206467628479,-0.5454998016357422,-0.7704318165779114,-0.029423819854855537,-1.197718858718872,1.093611240386963,1.1010000705718994,-0.0073888301849365234,-0.8686792254447937,0.2249320149421692,0.9433630239218473,1.0
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,b772969717e506ec9c1486cc,819,1,mid,20,53,-1.187347650527954,-1.379669427871704,-1.0248432159423828,-1.347938060760498,-0.42698049545288086,-1.3208208084106445,0.13077306747436523,0.1625044345855713,-0.031731367111206055,0.19232177734375,0.32309484481811523,0.5707454681396484,0.78
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,02f23d7365dfb434c52f6dcd,819,2,early,14,53,-1.223875641822815,-0.5270015001296997,-0.915473461151123,-0.6285783648490906,-0.45255783200263977,-0.7197971343994141,0.40997904539108276,0.3084021806716919,0.10157686471939087,-0.6968741416931152,-0.28689509630203247,0.5541343986988068,0.74
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,93e37242dc34f5dfc52170c9,819,4,late,36,53,-0.9596096277236938,-0.2240527868270874,-0.6422352194786072,-0.2328096628189087,-0.09291134029626846,-0.22677040100097656,0.32613128423690796,0.31737440824508667,0.008756875991821289,-0.7355568408966064,-0.4094255566596985,0.5432846173644066,1.0
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,ae82390c38132126a91b101a,819,8,mid,34,53,-1.249462366104126,-0.8000366687774658,-0.8303629159927368,-1.2627851963043213,-0.11498603969812393,-1.679074764251709,0.8818479776382446,0.41909945011138916,0.46274852752685547,-0.44942569732666016,0.4324222803115845,1.1316664442420006,1.01
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,a1f571360ea4843402220418,950,1,early,34,105,-0.7836735248565674,-0.06438367068767548,-0.6017478108406067,-0.07953262329101562,-0.3291023075580597,-0.14084944128990173,0.19707466661930084,0.1819257140159607,0.015148952603340149,-0.7192898541688919,-0.5222151875495911,0.3339623212814331,1.06
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,dad2099f4eef0e44ae504a0f,950,2,late,87,105,-0.5811249017715454,-0.5327467918395996,-0.5080146789550781,-0.49746885895729065,-0.33283448219299316,-0.4716002345085144,0.037832289934158325,0.07311022281646729,-0.03527793288230896,-0.0483781099319458,-0.010545819997787476,0.14931157231330872,1.74
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,05bcd4e6e23a5b86dca38f04,950,4,mid,42,105,-0.6204591393470764,-0.008923212997615337,-0.5902302265167236,-0.052872657775878906,-0.2554859220981598,-0.14981381595134735,0.07417835760861635,0.030228912830352783,0.04394944477826357,-0.6115359263494611,-0.5373575687408447,0.4316854625940323,1.19
