metric,m0,m1,diff,ci_low,ci_high,n_prompts,n_m0,n_m1,direction,m0_tag,m1_tag,purpose,motif_length
gain_second,0.4985554998565931,0.49877183436910855,0.0002163345125154592,-0.02086933813379801,0.021436107104000242,128,128,128,interval_covers_zero,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,raw minus cleaned,2
gain_motif,0.3120532696441387,0.41653599616597603,0.10448272652183732,0.0714669702068477,0.14646048622788613,128,128,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,raw minus cleaned,4
gain_copy,0.29244422109331936,0.392270426498726,0.09982620540540665,0.06856056446849834,0.14108232428261544,128,128,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,raw minus cleaned,4
gain_recovery,0.019609048550819352,0.02426556966725002,0.0046565211164306675,-0.0061149683362600625,0.014921605238714617,128,128,128,interval_covers_zero,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,raw minus cleaned,4
margin_c1,-0.5228304503609706,-0.5016393628172864,0.02119108754368426,-0.012283714660736677,0.05089059216012401,128,128,128,interval_covers_zero,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,raw minus cleaned,4
margin_c2,-0.21077718071683194,-0.08510336665131035,0.12567381406552158,0.09891549613676034,0.15562236722762463,128,128,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,raw minus cleaned,4
gain_second,0.6339415446091152,0.5767127605613496,-0.05722878404776566,-0.08235538284079666,-0.03268415886177538,128,128,128,m1_lower,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,raw minus cleaned,4
gain_motif,0.4226516116536345,0.5738464009848485,0.151194789331214,0.12037095149430144,0.18548308878544473,128,128,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,raw minus cleaned,8
gain_copy,0.36309973150491714,0.49999871276668273,0.13689898126176558,0.10780813479577774,0.16813244993318222,128,128,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,raw minus cleaned,8
gain_recovery,0.05955188014871737,0.07384768821816579,0.014295808069448412,0.0040756716381835645,0.025538102597579375,128,128,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,raw minus cleaned,8
margin_c1,-0.6803015594445583,-0.6701595243268912,0.010142035117667092,-0.01924719741693508,0.03837033643135327,128,128,128,interval_covers_zero,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,raw minus cleaned,8
margin_c2,-0.25764994779092376,-0.09631312334204267,0.1613368244488811,0.12614351849933883,0.19557111136605265,128,128,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,raw minus cleaned,8
gain_second,0.6274601295335742,0.5712653069767839,-0.056194822556790314,-0.09012700145576673,-0.02065071647284641,128,128,128,m1_lower,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42,raw minus cleaned,8
gain_motif,0.3185285918211065,0.3803509353214167,0.06182234350031024,0.046739818384004296,0.0773128164744005,128,512,512,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42,OBR 15% minus cleaned,all
gain_copy,0.29494681002688594,0.3529746638814686,0.058027853854582645,0.042856318219855895,0.07320272717770422,128,512,512,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42,OBR 15% minus cleaned,all
gain_recovery,0.023581781794220547,0.02737627143994814,0.0037944896457275945,-0.0018267732398125956,0.00910935281225953,128,512,512,interval_covers_zero,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42,OBR 15% minus cleaned,all
margin_c1,-0.5922989273189359,-0.5433076082966863,0.04899131902224951,0.03241835482234308,0.06617223236757004,128,512,512,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42,OBR 15% minus cleaned,all
