range_type,progress_range,progress_left,progress_right,metric,m0,m1,diff_m1_minus_m0,ci_low,ci_high,m0_denominator,m1_denominator
base_bin,0.50-0.75G,0.5,0.75,normal_stop,0.0023955328373568164,0.0003242838731135409,-0.0020712489642432754,-0.002501690304259684,-0.0016552150366578506,118554,120265
base_bin,0.75-1.00G,0.75,1.0,new_strict_gold,0.054150338439615246,0.05117819677028238,-0.0029721416693328645,-0.00637307829770639,0.000400243712036217,103859,113818
base_bin,0.75-1.00G,0.75,1.0,new_relaxed_gold_pair,0.19373381218767752,0.1699906868860813,-0.023743125301596224,-0.030111739918729227,-0.017537568318143397,103859,113818
base_bin,0.75-1.00G,0.75,1.0,new_valid_any,0.19580392647724318,0.17252104236588237,-0.023282884111360813,-0.029744295523359075,-0.01706871057219384,103859,113818
base_bin,0.75-1.00G,0.75,1.0,seen_triple_reuse,0.10983159860965347,0.12765116238204854,0.017819563772395075,0.008780025660033454,0.02708712826757863,103859,113818
base_bin,0.75-1.00G,0.75,1.0,gold_pair_already_covered_variant,0.019901982495498707,0.020313131490625386,0.00041114899512667905,-0.0016364350864197018,0.0025405688948135904,103859,113818
base_bin,0.75-1.00G,0.75,1.0,new_unmatched,0.6637941824974244,0.6773884622818886,0.013594279784464258,0.00414630844887012,0.022986995099859648,103859,113818
base_bin,0.75-1.00G,0.75,1.0,invalid_identity,0.0,0.0,0.0,0.0,0.0,103859,113818
base_bin,0.75-1.00G,0.75,1.0,normal_stop,0.010668309920180244,0.002126201479555079,-0.008542108440625164,-0.009448346369212888,-0.0076473429610581815,103859,113818
base_bin,1.00-1.25G,1.0,1.25,new_strict_gold,0.036284728398135964,0.032687480111727896,-0.003597248286408068,-0.006713803370638149,-0.0005917788411344033,84333,113132
base_bin,1.00-1.25G,1.0,1.25,new_relaxed_gold_pair,0.13018628532128584,0.10916451578686844,-0.02102176953441741,-0.026825068137150587,-0.01543296679229002,84333,113132
base_bin,1.00-1.25G,1.0,1.25,new_valid_any,0.13270012924952274,0.11235547855602306,-0.02034465069349968,-0.026329849501922523,-0.014726070399247735,84333,113132
base_bin,1.00-1.25G,1.0,1.25,seen_triple_reuse,0.176170656801015,0.2245695293992858,0.048398872598270776,0.03507581848446061,0.06102384920974343,84333,113132
base_bin,1.00-1.25G,1.0,1.25,gold_pair_already_covered_variant,0.026300499211459334,0.02486475974967295,-0.0014357394617863853,-0.0040314750233864435,0.0011034967105581217,84333,113132
